"","departement","commune","unit.type","location","latitude","longitude","start.date","sheep.measuring.units","sheep.susceptible","sheep.cases","sheep.deaths","sheep.destroyed","sheep.slaughtered","cattle.measuring.units","cattle.susceptible","cattle.cases","cattle.deaths","cattle.destroyed","cattle.slaughtered","goat.measuring.units","goat.susceptible","goat.cases","goat.deaths","goat.destroyed","goat.slaughtered","remark"
"682","BAS-RHIN","Mietesheim","Farm","Mietesheim",48.883333,7.65,"28/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"683","VIENNE","Moulismes","Farm","Moulismes n°1",46.333333,0.816667,"28/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"684","HAUTE-SAÔNE","Buffignécourt","Farm","Buffignécourt",47.816667,6.016667,"28/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"685","VIENNE","BRIGUEIL-LE-CHANTRE","Farm","Brigueil-le-Chantre n°1",46.4,1.083333,"28/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"686","VIENNE","LATHUS-SAINT-REMY","Farm","LATHUS-SAINT-REMY n°2",46.383333,0.883333,"28/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"687","VIENNE","SAINT-MAURICE-LA-CLOUERE","Farm","SAINT-MAURICE-LA-CLOUERE",46.366667,0.416667,"28/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"688","OISE","Blicourt","Farm","Blicourt",49.55,2.05,"28/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"689","SAÔNE-ET-LOIRE","Bissey-sous-Cruchaud","Farm","Bissey-sous-Cruchaud",46.733333,4.683333,"28/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"690","INDRE","Mers-sur-Indre","Farm","Mers-sur-Indre",46.65,1.883333,"28/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"691","HAUTE-VIENNE","Rancon","Farm","Rancon",46.133333,1.183333,"28/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"692","NIÈVRE","LIMANTON","Farm","LIMANTON",46.983333,3.75,"28/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"693","YONNE","Saint-Père","Farm","Saint-Père",47.466667,3.766667,"28/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"694","MANCHE","VAINS","Farm","VAINS",48.683333,-1.416667,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"695","CÔTE-D'OR","Moutiers-Saint-Jean","Farm","Moutiers-Saint-Jean",47.566667,4.216667,"29/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"696","INDRE","Bonneuil","Farm","Bonneuil",46.366667,1.233333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"697","ARDENNES","Voncq","Farm","Voncq",49.466667,4.666667,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"698","NORD","Avelin","Farm","Avelin",50.533333,3.083333,"29/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"699","HAUTE-VIENNE","Saint-Sornin-la-Marche","Farm","Saint-Sornin-la-Marche",46.183333,0.983333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"700","HAUTE-VIENNE","Darnac","Farm","Darnac",46.216667,0.966667,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"701","HAUTE-VIENNE","Arnac-la-Poste","Farm","Arnac-la-Poste",46.266667,1.383333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"702","VIENNE","PRESSAC","Farm","PRESSAC",46.116667,0.566667,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"703","VIENNE","SAINT-PIERRE-DE-MAILLE","Farm","SAINT-PIERRE-DE-MAILLE",46.683333,0.85,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"704","VIENNE","LE VIGEANT","Farm","LE VIGEANT",46.233333,0.65,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"705","CALVADOS","Saint-Gâtien-des-Bois","Farm","Saint-Gâtien-des-Bois",49.35,0.183333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"706","VIENNE","LATHUS-SAINT-REMY","Farm","LATHUS-SAINT-REMY n°1",46.383333,0.883333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"707","VIENNE","Asnières-sur-Blour","Farm","Asnières-sur-Blour",46.166667,0.8,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"708","CALVADOS","Vaux-sur-Aure","Farm","Vaux-sur-Aure",49.3,-0.7,"29/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"709","YONNE","Magny","Farm","Magny",47.48414,3.98098,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"710","PAS-DE-CALAIS","Lottinghen","Farm","Lottinghen",50.683333,1.933333,"29/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"711","HAUTE-VIENNE","Morterolles-sur-Semme","Farm","Morterolles-sur-Semme",46.15,1.366667,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"712","VIENNE","PINDRAY","Farm","PINDRAY",46.483333,0.816667,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"713","VIENNE","THOLLET","Farm","THOLLET",46.42108,1.12298,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"714","MANCHE","LIESVILLE-SUR-DOUVE","Farm","LIESVILLE-SUR-DOUVE",49.35,-1.333333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"715","VIENNE","Usson-du-Poitou","Farm","Usson-du-Poitou",46.283333,0.533333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"716","MANCHE","RAUVILLE-LA-BIGOT","Farm","RAUVILLE-LA-BIGOT",49.516667,-1.683333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"717","HAUTE-MARNE","VAZEILLES-LIMANDRE","Farm","VAZEILLES-LIMANDRE",48.183333,5.1,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"718","HAUTE-VIENNE","Lussac-les-Églises","Farm","Lussac-les-Églises",46.35,1.183333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"719","SEINE-MARITIME","Allouville-Bellefosse","Farm","Allouville-Bellefosse",49.6,0.683333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"720","HAUTE-VIENNE","Saint-Sornin-Leulac","Farm","Saint-Sornin-Leulac",46.2,1.3,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"721","YONNE","Fontaines","Farm","Fontaines",47.7,3.266667,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"722","HAUTE-VIENNE","Jouac","Farm","Jouac",46.35,1.266667,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"723","INDRE","NEUVY-SAINT-SEPULCHRE","Farm","NEUVY-SAINT-SEPULCHRE",46.6,1.816667,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"724","HAUTE-VIENNE","Châteauponsac","Farm","Châteauponsac",46.133333,1.283333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"725","CHARENTE","MONTROLLET","Farm","MONTROLLET",45.98109,0.89509,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"726","VIENNE","BOURG-ARCHAMBAULT","Farm","BOURG-ARCHAMBAULT",46.383333,1,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"727","VIENNE","MOUSSAC","Farm","MOUSSAC",46.333333,0.666667,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"728","VIENNE","LA PUYE","Farm","LA PUYE",46.65,0.75,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"729","VIENNE","SAINT-MARTIN-L'ARS","Farm","SAINT-MARTIN-L'ARS",46.216667,0.533333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"730","NIÈVRE","ARMES","Farm","ARMES",47.466667,3.55,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"731","CALVADOS","Manerbe","Farm","Manerbe",49.183333,0.183333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"732","CALVADOS","Urville","Farm","Urville",49.033333,-0.3,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"733","VIENNE","Mouterre-sur-Blourde","Farm","Mouterre-sur-Blourde",46.2,0.75,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"734","NORD","Catillon-sur-Sambre","Farm","Catillon-sur-Sambre",50.066667,3.633333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"735","MOSELLE","Neufgrange","Farm","Neufgrange",49.066667,7.066667,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"736","VIENNE","Archigny","Farm","Archigny",46.666667,0.65,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"737","HAUTE-VIENNE","Magnac-Laval","Farm","Magnac-Laval",46.216667,1.166667,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"738","HAUTE-VIENNE","Dompierre-les-Églises","Farm","Dompierre-les-Églises",46.233333,1.25,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"739","CHARENTE","Oradour-Fanais","Farm","Oradour-Fanais",46.116667,0.783333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"740","DORDOGNE","La Roche-Chalais","Farm","La Roche-Chalais",45.15,0.016667,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"741","SAÔNE-ET-LOIRE","Uchizy","Farm","Uchizy",46.5,4.883333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"742","SEINE-MARITIME","Étalleville","Farm","Étalleville",49.733333,0.833333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"743","HAUTE-MARNE","Marault","Farm","Marault",48.183333,5.1,"29/02/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"744","CALVADOS","Magny-le-Freule","Farm","Magny-le-Freule",49.1,-0.066667,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"745","CALVADOS","Le Bény-Bocage","Farm","Le Bény-Bocage",48.933333,-0.833333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"746","VIENNE","SAINT-LEOMER","Farm","SAINT-LEOMER",46.433333,1,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"747","VIENNE","LATHUS-SAINT-REMY","Farm","LATHUS-SAINT-REMY n°2",46.383333,0.883333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"748","VIENNE","MARIGNY-BRIZAY","Farm","MARIGNY-BRIZAY",46.733333,0.383333,"29/02/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"749","CHARENTE","Brillac","Farm","Brillac",46.066667,0.783333,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"750","MOSELLE","Narbéfontaine","Farm","Narbéfontaine",49.133333,6.55,"01/03/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"751","INDRE","La Pérouille","Farm","La Pérouille",46.683333,1.516667,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"752","CHARENTE","Étagnac","Farm","Étagnac",45.9,0.783333,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"753","CALVADOS","Tournières","Farm","Tournières",49.233333,-0.933333,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"754","CHARENTE","Abzac","Farm","Abzac n°2",46.1,0.7,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"755","MANCHE","Gonneville","Farm","Gonneville",49.633333,-1.466667,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"756","MEURTHE-ET-MOSELLE","Réchicourt-la-Petite","Farm","Réchicourt-la-Petite",48.716667,6.566667,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"757","MEURTHE-ET-MOSELLE","Brémoncourt","Farm","Brémoncourt",48.483333,6.35,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"758","MEUSE","Rigny-la-Salle","Farm","Rigny-la-Salle",48.616667,5.7,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"759","INDRE","Murs","Farm","Murs",46.9,1.15,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"760","INDRE","Vendoeuvres","Farm","Vendoeuvres",46.8,1.35,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"761","INDRE","Ruffec","Farm","Ruffec n°2",46.633333,1.166667,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"762","INDRE","Mosnay","Farm","Mosnay",46.616667,1.6,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"763","SAÔNE-ET-LOIRE","La Chapelle-Thècle","Farm","La Chapelle-Thècle",46.55,5.116667,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"764","CHARENTE","Lussac","Farm","Lussac",45.883333,0.5,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"765","MEURTHE-ET-MOSELLE","Montigny-lès-Vaucouleurs","Farm","Montigny-lès-Vaucouleurs",48.583333,5.633333,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"766","MEURTHE-ET-MOSELLE","Vigneulles","Farm","Vigneulles",48.566667,6.333333,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"767","MEURTHE-ET-MOSELLE","Martincourt","Farm","Martincourt",48.85,5.95,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"768","CÔTE-D'OR","Braux","Farm","Braux",47.416667,4.433333,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"769","CALVADOS","Englesqueville-en-Auge","Farm","Englesqueville-en-Auge",49.333333,0.15,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"770","EURE","Beuzeville","Farm","Beuzeville",49.333333,0.35,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"771","INDRE","Bonneuil","Farm","Bonneuil n°2",46.366667,1.233333,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"772","INDRE","Ruffec","Farm","Ruffec n°1",46.633333,1.166667,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"773","INDRE","Guilly","Farm","Guilly",47.066667,1.716667,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"774","INDRE","Chazelet","Farm","Chazelet",46.516667,1.45,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"775","INDRE","Neuvy-Saint-Sépulchre","Farm","Neuvy-Saint-Sépulchre",46.6,1.816667,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"776","HAUTE-SAÔNE","COURTESOULT-ET-GATEY","Farm","COURTESOULT-ET-GATEY",47.616667,5.616667,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"777","VIENNE","PLAISANCE","Farm","PLAISANCE",46.333333,0.866667,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"778","INDRE","CHAILLAC","Farm","CHAILLAC",46.433333,1.3,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"779","NORD","AVESNES-LE-SEC","Farm","AVESNES-LE-SEC",50.25,3.383333,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"780","HAUTE-VIENNE","Saint-Sulpice-les-Feuilles","Farm","Saint-Sulpice-les-Feuilles",46.316667,1.366667,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"781","CHARENTE","VERTEUIL-SUR-CHARENTE","Farm","VERTEUIL-SUR-CHARENTE",45.983333,0.233333,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"782","AISNE","SAINT-ALGIS","Farm","SAINT-ALGIS",49.883333,3.816667,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"783","HAUTE-VIENNE","BUSSIERE-POITEVINE","Farm","BUSSIERE-POITEVINE",46.233333,0.916667,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"784","CHER","VENESMES","Farm","VENESMES",46.833333,2.316667,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"785","INDRE","Bonneuil","Farm","Bonneuil n°1",46.366667,1.233333,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"786","CALVADOS","Longvillers","Farm","Longvillers",49.05,-0.633333,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"787","MEURTHE-ET-MOSELLE","Giraumont","Farm","Giraumont",49.166667,5.916667,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"788","INDRE","Sainte-Sévère-sur-Indre","Farm","Sainte-Sévère-sur-Indre",46.483333,2.066667,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"789","NIÈVRE","SAIZY","Farm","SAIZY",47.35,3.7,"01/03/2012",NA,NA,NA,NA,NA,NA,"Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"790","CALVADOS","Proussy","Farm","Proussy",48.883333,-0.533333,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"791","CHARENTE","Ambernac","Farm","Ambernac",45.983333,0.533333,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"792","VIENNE","MAUPREVOIR","Farm","MAUPREVOIR",46.166667,0.516667,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"793","PAS-DE-CALAIS","Bécourt","Farm","Bécourt",50.633333,1.916667,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"794","CHARENTE","Saint-Maurice-des-Lions","Farm","Saint-Maurice-des-Lions n°2",45.966667,0.7,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"795","INDRE","Prissac","Farm","Prissac",46.516667,1.316667,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"796","CHARENTE","Saint-Maurice-des-Lions","Farm","Saint-Maurice-des-Lions n°1",45.966667,0.7,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"797","HAUTE-VIENNE","CHATEAUPONSAC","Farm","CHATEAUPONSAC",46.133333,1.283333,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"798","INDRE","Ciron","Farm","Ciron",46.616667,1.25,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"799","YONNE","Chevannes","Farm","Chevannes",47.75,3.5,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"800","CHARENTE","Abzac","Farm","Abzac n°1",46.1,0.7,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
"801","CHARENTE","Poursac","Farm","Poursac",45.95,0.25,"01/03/2012","Animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Affected Population"
